name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Ready Set…Cook! RSPCA Approved Chicken Wings,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/ready-setcook-rspca-approved-chicken-wings-550g/,https://www.aldi.com.au/fileadmin/_processed_/c/6/csm_2723_SSV_MEAT_1x1_1_RET_32e57050a1.png,6.99,0.55,12.71
The Fishmonger Wild Caught Australian Snapper Fillets,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/the-fishmonger-wild-caught-australian-snapper-fill-6/,https://www.aldi.com.au/fileadmin/_processed_/4/7/csm_2723_SSV_MEAT_1x1_3_RET_45710588e2.png,9.99,0.26,38.42
The Fishmonger Melt in the Middle Fish Cakes,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/the-fishmonger-melt-in-the-middle-fish-cakes-2pk29-17/,https://www.aldi.com.au/fileadmin/_processed_/1/6/csm_1002110-1_JUNE_SSV_B2_1x1_228x128_1_RET_e50bcdba36.png,4,0.29,13.79
Elmsbury Potato Pies,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/elmsbury-potato-pies-2pk440g-1/,https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_1002110-JUNE_SSV_B1_1x1_228x128_3_RET_38db049a90.png,4,0.44,9.09
Food Envy Italian Family Desserts,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/food-envy-italian-family-desserts-500g-2/,https://www.aldi.com.au/fileadmin/_processed_/1/a/csm_1002110-JUNE_SSV_B1_1x1_228x128_4_RET_292a59b452.png,4.5,0.5,9
World Kitchen Garlic Naan Bread,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/world-kitchen-garlic-naan-bread-360g/,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_1002110-JUNE_SSV_B1_1x1_228x128_5_RET_37ad251d9f.png,2.5,0.36,6.94
Bakers Life Italian Style Pizza Base,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/bakers-life-italian-style-pizza-base-2pk400g-1/,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_1002110-JUNE_SSV_B1_1x1_228x128_6_RET_b8d7c8858c.png,2.5,0.4,6.25
Knoppers Nutbar,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/knoppers-nutbar-3pk120g-1/,https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_1002110-JUNE_SSV_B1_1x1_228x128_8_RET_1bf1033a6b.png,1,0.12,8.33
Belmont Biscuit Co. Gluten Free Coconut Macaroons,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/belmont-biscuit-co-gluten-free-coconut-macaroons-1/,https://www.aldi.com.au/fileadmin/_processed_/4/4/csm_1002110-JUNE_SSV_B1_1x1_228x128_9_RET_c788ca3456.png,1.4,0.16,8.75
Hillcrest Gourmet Protein Bars,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/hillcrest-gourmet-protein-bars-5pk200g-4/,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_1002110-JUNE_SSV_B1_1x1_228x128_10_RET_b2d2883a0a.png,3,0.2,15
Moser Roth Dark Chocolate,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/moser-roth-dark-chocolate-125g/,https://www.aldi.com.au/fileadmin/_processed_/e/d/csm_1002110-JUNE_SSV_B1_1x1_228x128_11_RET_088c95acf0.png,2.5,0.125,20
Moser Roth Orange & Almond or Dark Hazelnut Chocolate,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/moser-roth-orange-almond-or-dark-hazelnut-chocolat/,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_1002110-JUNE_SSV_B1_1x1_228x128_12_RET_ba8a5e87ff.png,2.5,0.125,20
Lacura Verde Hand Wash,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/lacura-verde-hand-wash-500ml/,https://www.aldi.com.au/fileadmin/_processed_/d/c/csm_1002110-JUNE_SSV_B1_1x1_228x128_14_RET_9bae0d5151.png,4.5,0.5,9
Pantene Shampoo or Conditioner,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/pantene-shampoo-or-conditioner-300ml-2/,https://www.aldi.com.au/fileadmin/_processed_/e/9/csm_1002110-JUNE_SSV_B1_1x1_228x128_15_RET_ac8ac72950.png,5.5,0.3,18.33
Corte Carista Montepulciano D’Abruzzo DOC,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/corte-carista-montepulciano-dabruzzo-doc-750ml/,https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002110-JUNE_SSV_B1_1x1_228x128_16_RET_70eff1ad6d.png,9,0.75,12
One Road Shiraz,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/one-road-shiraz-750ml-1/,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_1002110-JUNE_SSV_B1_1x1_228x128_17_RET_9df035af16.png,6,0.75,8
Sweet Sensations Peanut Brittle or Butter Fudge,https://www.aldi.com.au/en/groceries/seasonal-range/seasonal-range-detail/ps/p/sweet-sensations-peanut-brittle-or-butter-fudge-12/,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_1001961-2_SEASONAL_1x1_228x128_B3_1_RET_7d0cccfce7.png,3.99,0.15,26.6
