name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Market Fare Corn Kernels,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-corn-kernels-1kg-1/,https://www.aldi.com.au/fileadmin/_processed_/a/2/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_2_b2bba5422e.jpg,4.19,1,4.19,,,,,,,,
Market Fare Garden Peas,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-garden-peas-1kg-3/,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_3_591795a34d.jpg,2.59,1,2.59,,,,,,,,
Market Fare Baby Peas,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-baby-peas-1kg/,https://www.aldi.com.au/fileadmin/_processed_/3/3/csm_1001605-7_1x1_Q4_WEB-AUDIT_FREEZER_228x128_1_e46efc8a61.jpg,4.69,1,4.69,,,,,,,,
Market Fare Peas Carrots & Corn,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-peas-carrots-corn-1kg-2/,https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_4_32b4dc35ff.jpg,4.19,1,4.19,,,,,,,,
Market Fare Green Beans,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-green-beans-1kg/,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_5_728efad4f0.jpg,2.79,1,2.79,,,,,,,,
Market Fare Broccoli,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-broccoli-500g-1/,https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_6_31d847d825.jpg,2.99,0.5,5.98,,,,,,,,
Market Fare Spinach,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-spinach-250g-2/,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_7_e00448fa4c.jpg,0.89,0.25,3.56,,,,,,,,
Market Fare Winter Vegetables,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-winter-vegetables-1kg-2/,https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_23_0421a1bc07.jpg,4.19,1,4.19,,,,,,,,
Market Fare Stir Fry Vegetables,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-stir-fry-vegetables-850g/,https://www.aldi.com.au/fileadmin/_processed_/d/3/csm_ALN2853_FROZEN_FOOD_1x1_228x128_2_b87e9b8cb1.jpg,4.29,0.85,5.05,,,,,,,,
Market Fare Cauliflower or Broccoli Bake,https://www.aldi.com.au/en/groceries/freezer/freezer-detail/ps/p/market-fare-cauliflower-or-broccoli-bake-800g/,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_8_b9622172af.jpg,6.99,0.8,8.74,,,,,,,,
